"","name","mass","hd","hip","teff","ra","dec","min_time","max_time","time_span","rms","nsets","ndata","telescopes","fn"
"37","CoRoT-6",1.05,NA,NA,6090,281.072525,6.663194,2454642.5591,2454715.4002,72.841099999845,0.2,1,14,"ELODIE","CoRoT-6.sys"
"38","CoRoT-7",0.91,NA,NA,5259,100.956125,-1.063033,2454514.32514,2454884.646409,370.321268999949,0.01,2,111,"6M, ELODIE","CoRoT-7.sys"
"39","CoRoT-8",0.88,NA,NA,5080,291.588531,1.426452,2454314.40776,2455046.73467,732.326910000294,23.52,2,21,"ELODIE, ESO","CoRoT-8.sys"
"40","GJ 1214",0.16,NA,NA,3170,258.828827,4.96392,2454993.767485,2455049.562632,55.7951469998807,10.32,1,27,"6M","GJ1214.sys"
"41","GJ 179",0.36,NA,"HIP 22627",3370,73.023865,6.476539,2451580.83131,2455206.77569,3625.94438000023,18.74,2,44,"KECK, HET","GJ179.sys"
"42","GJ 3021",0.9,"HD 1237","HIP 1292",5540,4.052823,-79.851181,2451128.605866,2451587.516077,458.910211000126,0.11,1,61,"EULER","GJ3021.sys"
"43","GJ 317",0.42,NA,NA,3510,130.246735,-23.456289,2451550.993,2454255.745,2704.75200000033,52.67,1,18,"KECK","GJ317.sys"
"44","GJ 328",0.69,NA,"HIP 43790",3900,133.781754,1.546508,2452645.810376,2456398.63807,3752.82769399974,25.28,1,58,"HET","GJ328.sys"
"45","GJ 3470",0.51,NA,NA,3652,119.774345,15.391492,2454807.811989,2455961.736218,1153.92422899976,8.28,1,61,"ESO","GJ3470.sys"
"46","GJ 3634",0.45,NA,NA,NA,164.64624,-31.14399,2454915.70975,2455375.475411,459.765661000274,5.81,1,54,"ESO","GJ3634.sys"
"47","GJ 433",0.48,NA,"HIP 56528",3600,173.862289,-32.53997,2451634.678207,2454188.595868,2553.91766100004,4.71,1,166,"VLT","GJ433.sys"
"48","GJ 436",0.56,NA,"HIP 57087",3416,175.546219,26.70657,2451552.077,2453933.781,2381.70399999991,13.38,2,114,"KECK, KECK","GJ436.sys"
"49","GJ 581",0.31,NA,"HIP 74995",NA,229.861771,-7.72228,2453152.712894,2454722.472371,1569.75947699975,9.75,1,119,"6M","GJ581.sys"
